Pair s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11
96 0 0 0 1 −1 0 1 0 1 0 0 0 0 0 −1 1 0 1 0 1 0 0
97 0 0 0 0 0 1 −1 0 0 −1 1 0 0 0 0 0 −1 −1 0 0 −1 −1
98 0 0 0 0 0 1 −1 0 0 −1 −1 0 0 0 0 0 −1 −1 0 0 −1 1
99 0 0 0 0 0 1 −1 0 0 1 1 0 0 0 0 0 −1 −1 0 0 1 −1
100 0 0 0 0 0 1 −1 0 0 1 −1 0 0 0 0 0 −1 −1 0 0 1 1
101 0 0 0 0 0 1 1 0 0 −1 1 0 0 0 0 0 −1 1 0 0 −1 −1
102 0 0 0 0 0 1 1 0 0 −1 −1 0 0 0 0 0 −1 1 0 0 −1 1
103 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 −1 1 0 0 1 −1
104 0 0 0 0 0 1 1 0 0 1 −1 0 0 0 0 0 −1 1 0 0 1 1
105 0 0 0 0 0 1 0 1 −1 0 −1 0 0 0 0 0 −1 0 −1 −1 0 −1
106 0 0 0 0 0 1 0 −1 −1 0 −1 0 0 0 0 0 −1 0 1 −1 0 −1
107 0 0 0 0 0 1 0 1 −1 0 1 0 0 0 0 0 −1 0 −1 −1 0 1
108 0 0 0 0 0 1 0 −1 −1 0 1 0 0 0 0 0 −1 0 1 −1 0 1
109 0 0 0 0 0 1 0 1 1 0 −1 0 0 0 0 0 −1 0 −1 1 0 −1
110 0 0 0 0 0 1 0 −1 1 0 −1 0 0 0 0 0 −1 0 1 1 0 −1
111 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 −1 0 −1 1 0 1
112 0 0 0 0 0 1 0 −1 1 0 1 0 0 0 0 0 −1 0 1 1 0 1
113 0 0 0 0 0 0 1 0 1 −1 −1 0 0 0 0 0 0 −1 0 −1 −1 −1
114 0 0 0 0 0 0 1 0 −1 −1 −1 0 0 0 0 0 0 −1 0 1 −1 −1
115 0 0 0 0 0 0 1 0 1 −1 1 0 0 0 0 0 0 −1 0 −1 −1 1
116 0 0 0 0 0 0 1 0 −1 −1 1 0 0 0 0 0 0 −1 0 1 −1 1
117 0 0 0 0 0 0 1 0 1 1 −1 0 0 0 0 0 0 −1 0 −1 1 −1
118 0 0 0 0 0 0 1 0 −1 1 −1 0 0 0 0 0 0 −1 0 1 1 −1
119 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 −1 0 −1 1 1
120 0 0 0 0 0 0 1 0 −1 1 1 0 0 0 0 0 0 −1 0 1 1 1
